rank,full_name,url,description,stars,star_delta,forks,fork_delta,open_issues,language,topics,created_at,updated_at,pushed_at,archived
1,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",202205,55,31026,7,52,JavaScript,"ai-agents,anthropic,claude,claude-code,developer-tools,llm,mcp,productivity",2026-01-18T00:51:51Z,2026-06-02T00:37:52Z,2026-05-31T06:45:42Z,False
2,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,175970,35,30015,10,16261,Python,"ai,ai-agent,ai-agents,anthropic,chatgpt,claude,claude-code,clawdbot,codex,hermes,hermes-agent,llm,moltbot,nous-research,openai,openclaw",2025-07-22T22:22:28Z,2026-06-02T00:36:18Z,2026-06-02T00:36:53Z,False
3,multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,"A single CLAUDE.md file to improve Claude Code behavior, derived from Andrej Karpathy's observations on LLM coding pitfalls.",164782,53,16877,6,115,,,2026-01-27T03:53:13Z,2026-06-02T00:37:38Z,2026-04-20T10:05:04Z,False
4,x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models",138676,3,34512,0,148,,"ai,bolt,cluely,copilot,cursor,cursorai,devin,github-copilot,lovable,open-source,perplexity,replit,system-prompts,trae,trae-ai,trae-ide,v0,vscode,windsurf,windsurf-ai",2025-03-05T16:38:29Z,2026-06-02T00:33:37Z,2026-05-23T11:15:30Z,False
5,anthropics/claude-code,https://github.com/anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",129336,7,21044,2,8444,Python,,2025-02-22T17:41:21Z,2026-06-02T00:28:30Z,2026-05-31T19:42:49Z,False
6,garrytan/gstack,https://github.com/garrytan/gstack,"Use Garry Tan's exact Claude Code setup: 23 opinionated tools that serve as CEO, Designer, Eng Manager, Release Manager, Doc Engineer, and QA",105723,27,15758,7,574,TypeScript,,2026-03-11T21:22:45Z,2026-06-02T00:36:53Z,2026-06-01T15:34:19Z,False
7,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,104843,3,13967,0,1356,TypeScript,"ai,ai-agents,cli,gemini,gemini-api,mcp-client,mcp-server",2025-04-17T17:04:31Z,2026-06-02T00:34:21Z,2026-06-01T23:54:29Z,False
8,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io",87902,25,5717,2,1253,Rust,"ai-tools,claude-code,codex,desktop-app,hermes,hermes-agent,mcp,minimax,omo,open-source,openclaw,openclaw-ui,opencode,provider-management,rust,skills,skills-management,tauri,typescript,wsl-support",2025-08-04T14:16:16Z,2026-06-02T00:37:05Z,2026-06-01T15:30:29Z,False
9,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,86584,1,10895,2,498,TypeScript,,2024-11-19T01:10:17Z,2026-06-01T23:57:46Z,2026-05-30T18:35:21Z,False
10,nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,An AI SKILL that provide design intelligence for building professional UI/UX multiple platforms,86050,19,8895,2,163,Python,"ai-skills,antigravity,claude,claude-code,codex,command-line,copilot,cursor-ai,html5,kiro,landing-page,mobile-ui,qoder,react,tailwindcss,trae,ui-design,uikit,windsurf-ai",2025-11-30T11:36:31Z,2026-06-02T00:36:25Z,2026-04-03T05:08:19Z,False
11,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",80100,4,6895,2,140,TypeScript,"ai,ai-agents,ai-memory,anthropic,artificial-intelligence,chromadb,claude,claude-agent-sdk,claude-agents,claude-code,claude-code-plugin,claude-skills,embeddings,long-term-memory,mem0,memory-engine,openmemory,rag,sqlite,supermemory",2025-08-31T20:50:03Z,2026-06-02T00:20:43Z,2026-05-29T19:19:59Z,False
12,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman,67443,15,3800,1,264,JavaScript,"ai,anthropic,caveman,claude,claude-code,llm,meme,prompt-engineering,skill,tokens",2026-04-04T10:03:00Z,2026-06-02T00:23:11Z,2026-05-20T10:44:54Z,False
13,shareAI-lab/learn-claude-code,https://github.com/shareAI-lab/learn-claude-code,"Bash is all you need -  A nano claude code–like 「agent harness」, built from 0 to 1",64081,3,10470,0,70,Python,"agent,agent-development,ai-agent,claude,claude-code,educational,llm,python,teaching,tutorial",2025-06-29T15:34:15Z,2026-06-02T00:15:58Z,2026-05-31T14:22:38Z,False
14,gsd-build/get-shit-done,https://github.com/gsd-build/get-shit-done,"A light-weight and powerful meta-prompting, context engineering and spec-driven development system for Claude Code by TÂCHES.",63814,-1,5433,0,0,JavaScript,"claude-code,context-engineering,meta-prompting,spec-driven-development",2025-12-14T14:17:12Z,2026-06-01T23:25:22Z,2026-05-31T17:46:54Z,False
15,sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。",58693,0,24468,0,43,Python,"ai,bark,data-analysis,docker,hot-news,llm,mail,mcp,mcp-server,news,ntfy,python,rss,trending-topics,wechat,wework",2025-04-28T11:42:16Z,2026-06-01T21:40:08Z,2026-05-27T14:14:00Z,False
16,D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,🕷️ An adaptive Web Scraping framework that handles everything from a single request to a full-scale crawl!,58019,59,5633,8,18,Python,"ai,ai-scraping,automation,crawler,crawling,crawling-python,data,data-extraction,mcp,mcp-server,playwright,python,scraping,selectors,stealth,web-scraper,web-scraping,web-scraping-python,webscraping,xpath",2024-10-13T20:29:53Z,2026-06-02T00:35:00Z,2026-06-01T23:19:28Z,False
17,safishamsi/graphify,https://github.com/safishamsi/graphify,"AI coding assistant skill (Claude Code, Codex, OpenCode, Cursor, Gemini CLI, and more). Turn any folder of code, SQL schemas, R scripts, shell scripts, docs, papers, images, or videos into a queryable knowledge graph. App code + database schema + infrastructure in one graph.",57934,12,6055,5,279,Python,"antigravity,claude-code,codex,gemini,graphrag,knowledge-graph,leiden,openclaw,rag,skills,tree-sitter",2026-04-03T15:49:07Z,2026-06-02T00:31:21Z,2026-06-01T21:23:43Z,False
18,rtk-ai/rtk,https://github.com/rtk-ai/rtk,"CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",57447,15,3526,0,1035,Rust,"agentic-coding,ai-coding,anthropic,claude-code,cli,command-line-tool,cost-reduction,developer-tools,llm,open-source,productivity,rust,token-optimization",2026-01-22T16:54:16Z,2026-06-02T00:27:32Z,2026-06-01T16:51:19Z,False
19,ruvnet/ruflo,https://github.com/ruvnet/ruflo,"🌊 The leading agent meta-harness for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning swarm intelligence, RAG integration, and native Claude Code / Codex Integration",57298,20,6532,1,596,TypeScript,"agentic-ai,agentic-framework,agentic-rag,agentic-workflow,agents,ai-agents,ai-assistant,ai-coding,ai-skills,autonomous-agents,claude-code,codex,mcp-server,multi-agent,multi-agent-systems,npm,skills,swarm,swarm-intelligence,typescript",2025-06-02T21:24:20Z,2026-06-02T00:37:05Z,2026-06-01T09:44:28Z,False
20,nexu-io/open-design,https://github.com/nexu-io/open-design,"🎨 Local-first, open-source Claude Design alternative. 🖥️ Native desktop app. ⚡ 259+ Skills · ✨ 142+ Design Systems 🖼️ Web · desktop · mobile prototypes · slides · images · videos · HyperFrames 📦 Sandboxed preview · HTML/PDF/PPTX/MP4 export 🤖 Claude Code / OpenClaw / Codex / Cursor / OpenCode / Qwen / Copilot / Hermes / Kimi & 17+ CLIs.",57019,16,6443,2,343,TypeScript,"agent-skills,ai-agents,ai-design,byok,claude-code-for-design,claude-design,codex-design,coding-agents,cursor-design,design-systems,design-tools,desktop-app,figma-alternative,generative-ai,hermes-agent,local-first,no-code,prototyping,ui-generator,vibe-coding",2026-04-28T04:25:20Z,2026-06-02T00:37:47Z,2026-06-01T16:13:33Z,False
21,upstash/context7,https://github.com/upstash/context7,Context7 Platform -- Up-to-date code documentation for LLMs and AI code editors,56550,2,2672,0,150,TypeScript,"llm,mcp,mcp-server,vibe-coding",2025-03-26T23:40:39Z,2026-06-02T00:05:00Z,2026-06-01T18:44:06Z,False
22,shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,from vibe coding to agentic engineering - practice makes claude perfect,55913,7,5611,1,12,HTML,"agentic-ai,agentic-coding,agentic-engineering,agentic-workflow,ai,ai-agents,anthropic,best-practices,boris,claude,claude-ai,claude-code,claude-code-agents,claude-code-best-practices,claude-code-commands,claude-code-skills,context-engineering,pakistan,pakistani-developer,vibe-coding",2025-10-31T14:15:28Z,2026-06-02T00:26:50Z,2026-06-01T17:57:52Z,False
23,MemPalace/mempalace,https://github.com/MemPalace/mempalace,The best-benchmarked open-source AI memory system. And it's free.,53259,2,7023,0,585,Python,"ai,chromadb,llm,mcp,memory,python",2026-04-05T01:12:07Z,2026-06-02T00:11:28Z,2026-05-30T19:45:01Z,False
24,BerriAI/litellm,https://github.com/BerriAI/litellm,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",48953,2,8536,2,3545,Python,"ai-gateway,anthropic,azure-openai,bedrock,gateway,langchain,litellm,llm,llm-gateway,llmops,mcp-gateway,openai,openai-proxy,vertex-ai",2023-07-27T00:09:52Z,2026-06-02T00:29:19Z,2026-06-02T00:31:12Z,False
